data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;РФ;18-59;21_45_days;CoviVac;0.02918;-0.07079;0.11983;0.02468;-0.2767;0.25493;0.26741;-0.63086;0.67092;0.65286;-1.46473;0.95111
2021.11_11-11-2022;РФ;18-59;21_45_days;EpiVacCorona;0.1438;0.02253;0.25002;-0.21537;-0.65069;0.10515;-0.37678;-1.88832;0.34373;-0.11838;-3.47268;0.72035
2021.11_11-11-2022;РФ;18-59;21_45_days;SputnikLite;0.33175;0.32089;0.34244;0.43399;0.40604;0.46061;0.57426;0.50886;0.63094;0.6305;0.52153;0.71465
2021.11_11-11-2022;РФ;18-59;21_45_days;SputnikV;0.52555;0.51365;0.53717;0.59414;0.56307;0.62299;0.61692;0.5342;0.68496;0.69806;0.56237;0.79168
2021.11_11-11-2022;РФ;60+;21_45_days;AllVaccines;0.51453;0.50515;0.52374;0.66797;0.65649;0.67907;0.78369;0.76632;0.79977;0.82665;0.80832;0.84323
2021.11_11-11-2022;РФ;60+;21_45_days;CoviVac;0.13322;-0.04146;0.2786;0.15731;-0.10885;0.35958;0.55351;0.10716;0.77672;0.69638;0.19101;0.88605
2021.11_11-11-2022;РФ;60+;21_45_days;EpiVacCorona;0.08832;-0.0615;0.21699;-0.01448;-0.25484;0.17983;0.07279;-0.39539;0.38389;0.17759;-0.36426;0.50424
2021.11_11-11-2022;РФ;60+;21_45_days;SputnikLite;0.48404;0.47221;0.49559;0.66521;0.65108;0.67878;0.80804;0.78781;0.82634;0.86234;0.842;0.88007
2021.11_11-11-2022;РФ;60+;21_45_days;SputnikV;0.59667;0.58149;0.61129;0.70102;0.68152;0.71933;0.75537;0.72187;0.78484;0.77109;0.73279;0.8039
2021.11_11-11-2022;РФ;18+;45_75_days;AllVaccines;0.34868;0.34267;0.35464;0.56599;0.55604;0.57571;0.66909;0.65128;0.68598;0.75038;0.73104;0.76833
2021.11_11-11-2022;РФ;18+;45_75_days;CoviVac;-0.1357;-0.2042;-0.07111;0.16222;0.0383;0.27016;0.35368;0.1117;0.52975;0.66045;0.41519;0.80285
2021.11_11-11-2022;РФ;18+;45_75_days;EpiVacCorona;-0.21174;-0.27663;-0.15015;-0.43235;-0.57838;-0.29982;-0.22374;-0.51377;0.01072;-0.10546;-0.45873;0.16225
2021.11_11-11-2022;РФ;18+;45_75_days;SputnikLite;0.37942;0.36957;0.38913;0.58536;0.5689;0.60119;0.70216;0.67315;0.7286;0.77694;0.7452;0.80471
2021.11_11-11-2022;РФ;18+;45_75_days;SputnikV;0.35667;0.34912;0.36413;0.59;0.57774;0.60191;0.68069;0.65838;0.70153;0.75971;0.73542;0.78178
2021.11_11-11-2022;РФ;18-59;45_75_days;AllVaccines;0.29771;0.29005;0.30529;0.45607;0.43741;0.47412;0.47917;0.43077;0.52346;0.56446;0.48715;0.63011
2021.11_11-11-2022;РФ;18-59;45_75_days;CoviVac;-0.17859;-0.25735;-0.10477;-0.29713;-0.53658;-0.095;-0.15887;-0.83975;0.27002;0.81724;-0.29761;0.97426
2021.11_11-11-2022;РФ;18-59;45_75_days;EpiVacCorona;-0.2261;-0.30812;-0.14922;-0.6854;-0.96162;-0.44808;-0.00684;-0.67042;0.39313;0.23783;-1.0313;0.71403
