data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;РФ;60+;105_165_days;CoviVac;-0.45608;-0.59814;-0.32665;-0.03666;-0.21111;0.11266;0.2737;-0.00703;0.47617;0.60691;0.3362;0.76722
2021.12_26-12-2022;РФ;60+;105_165_days;EpiVacCorona;-0.3937;-0.46175;-0.32881;-0.41228;-0.50982;-0.32105;-0.36095;-0.53393;-0.20747;0.06701;-0.10622;0.21312
2021.12_26-12-2022;РФ;60+;105_165_days;SputnikLite;0.18546;0.14787;0.22139;0.43351;0.38866;0.47507;0.6415;0.57578;0.69704;0.78356;0.72057;0.83234
2021.12_26-12-2022;РФ;60+;105_165_days;SputnikV;0.18912;0.17821;0.19989;0.46801;0.45566;0.48007;0.64638;0.6286;0.6633;0.75378;0.73621;0.77019
2021.12_26-12-2022;РФ;18+;165_195_days;AllVaccines;-0.01315;-0.02441;-0.00201;0.10574;0.08505;0.12597;0.30033;0.26434;0.33456;0.45796;0.41784;0.49532
2021.12_26-12-2022;РФ;18+;165_195_days;CoviVac;-0.84924;-0.95049;-0.75324;-0.3491;-0.52358;-0.1946;0.09564;-0.20753;0.32269;0.72051;0.46279;0.85459
2021.12_26-12-2022;РФ;18+;165_195_days;EpiVacCorona;-0.48924;-0.53015;-0.44942;-1.0085;-1.10207;-0.91909;-1.11322;-1.304;-0.93824;-0.77514;-0.99834;-0.57687
2021.12_26-12-2022;РФ;18+;165_195_days;SputnikLite;0.95705;0.90439;0.9807;0.9728;0.80692;0.99617;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;РФ;18+;165_195_days;SputnikV;0.06428;0.05267;0.07574;0.25456;0.23429;0.2743;0.48136;0.44797;0.51272;0.60464;0.56758;0.63853
2021.12_26-12-2022;РФ;18-59;165_195_days;AllVaccines;-0.0178;-0.03225;-0.00356;0.11901;0.0828;0.15379;0.19314;0.10367;0.27368;0.4668;0.3347;0.57267
2021.12_26-12-2022;РФ;18-59;165_195_days;CoviVac;-0.93338;-1.05289;-0.82083;-0.98892;-1.32841;-0.69893;-0.68687;-1.58818;-0.09943;0.52491;-0.90027;0.88122
2021.12_26-12-2022;РФ;18-59;165_195_days;EpiVacCorona;-0.38768;-0.44096;-0.33637;-0.90209;-1.07259;-0.74561;-1.01854;-1.48661;-0.63858;-0.1402;-0.836;0.2919
2021.12_26-12-2022;РФ;18-59;165_195_days;SputnikLite;0.95138;0.89177;0.97816;0.94245;0.59144;0.99189;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;РФ;18-59;165_195_days;SputnikV;0.04728;0.0323;0.06203;0.26607;0.2306;0.29991;0.35481;0.26833;0.43106;0.5307;0.39566;0.63556
2021.12_26-12-2022;РФ;60+;165_195_days;AllVaccines;0.02746;0.00997;0.04463;0.19358;0.17084;0.2157;0.40689;0.37206;0.4398;0.52566;0.48849;0.56013
2021.12_26-12-2022;РФ;60+;165_195_days;CoviVac;-0.85121;-1.07966;-0.64786;-0.39237;-0.686;-0.14989;-0.03727;-0.53525;0.29919;0.592;0.14411;0.80551
2021.12_26-12-2022;РФ;60+;165_195_days;EpiVacCorona;-0.50766;-0.56767;-0.44995;-0.61973;-0.70913;-0.53501;-0.62142;-0.78298;-0.4745;-0.37195;-0.55041;-0.21402
2021.12_26-12-2022;РФ;60+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;РФ;60+;165_195_days;SputnikV;0.11999;0.1021;0.13752;0.32425;0.30184;0.34594;0.56824;0.53608;0.59818;0.66028;0.62611;0.69133
2021.12_26-12-2022;РФ;18+;21_45_days;AllVaccines;0.52377;0.51843;0.52905;0.64007;0.63102;0.6489;0.75038;0.73555;0.76438;0.81662;0.80046;0.83147
2021.12_26-12-2022;РФ;18+;21_45_days;CoviVac;-0.10438;-0.18227;-0.03163;0.14271;0.00359;0.26241;0.56118;0.33959;0.70841;0.78888;0.55713;0.89936
2021.12_26-12-2022;РФ;18+;21_45_days;EpiVacCorona;0.11658;0.07139;0.15956;-0.14431;-0.24613;-0.05081;0.07694;-0.11016;0.23251;0.25107;0.03105;0.42113
2021.12_26-12-2022;РФ;18+;21_45_days;SputnikLite;0.41462;0.40377;0.42527;0.56179;0.54337;0.57947;0.71403;0.68428;0.74097;0.77798;0.74433;0.8072
2021.12_26-12-2022;РФ;18+;21_45_days;SputnikV;0.59769;0.59174;0.60357;0.71294;0.70309;0.72246;0.79551;0.77902;0.81077;0.85589;0.83817;0.87167
